,HeadYaw,HeadPitch,LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,LWristYaw,HipRoll,HipPitch,KneePitch,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,RWristYaw,Speed,delay,LeftHand,RightHand,X-movement,Y-movement,Angle,sentence,rotate
0,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,3.0,0,0,,,,We will start by warming up!,0
1,0.0,26.9,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,2.0,0,0,,,,We will rotate our head to warm up our neck.,0
2,0.0,-40.5,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,2.0,0,0,,,,,0
3,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,1.0,0,0,,,,,0
4,-76.8,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,3.0,0,0,,,,,0
5,75.4,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,5.0,0,0,,,,,0
6,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,2.0,0,0,,,,,0
7,0.0,27.3,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,2.0,0,0,,,,,0
8,0.0,-40.5,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,2.0,0,0,,,,,0
9,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,2.0,0,0,,,,,0
10,-75.4,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,3.0,0,0,,,,,0
11,75.4,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,5.0,0,0,,,,,0
12,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,1.0,0,0,,,,,0
13,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,2.0,0,0,,,,Are you starting to feel warm now?,1
14,0.0,-11.4,-64.0,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,7.0,0,0,,,,Move your left arm up.,0
15,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,5.0,0,0,,,,and down again.,1
16,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,-64.0,-8.5,71.4,28.9,0.0,0.1,7.0,0,0,,,,The other hand!,0
17,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,5.0,0,0,,,,And down!,1
18,0.0,-11.4,-65.4,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,7.0,0,0,,,,And Again!,0
19,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,5.0,0,0,,,,,1
20,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,-64.0,-8.5,71.4,28.9,0.0,0.1,7.0,0,0,,,,,0
21,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,0.0,0,0,,,,,0
22,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,5.0,0,0,,,,,1
23,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,1.0,0,0,,,,Let us do it a bit more advanced! Move your hand up. and bend to the side.,0
24,0.0,-11.4,-64.0,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,5.0,0,0,,,,,0
25,0.0,-11.4,-64.0,8.6,-71.8,-28.9,0.0,-29.5,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,3.0,0,0,,,,,0
26,0.0,-11.4,-64.0,8.6,-71.8,-28.9,0.0,29.5,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,5.0,0,0,,,,,0
