,HeadYaw,HeadPitch,LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,LWristYaw,HipRoll,HipPitch,KneePitch,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,RWristYaw,Speed,delay,LeftHand,RightHand,X-movement,Y-movement,Angle,sentence,rotate
0,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,3.0,0.0,0.0,,,,Next. we will stretch and bend!,0
1,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,-29.5,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,5.0,0.0,0.0,,,,Move to the left!,0
2,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,29.5,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,7.0,0.0,0.0,,,,To the right!,0
3,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,-29.5,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,7.0,0.0,0.0,,,,Again!,0
4,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,29.5,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,7.0,0.0,0.0,,,,,0
5,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,5.0,0.0,0.0,,,,Now. we will try bending forward!,1
6,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-56.7,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,5.0,0.0,0.0,,,,,0
7,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,3.0,0.0,0.0,,,,,0
0,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,3.0,0.0,0.0,,,,Please. follow me!,1
1,0.0,-11.4,-11.4,89.5,-71.8,-80.5,0.0,0.0,-2.3,-0.6,-11.4,-89.5,71.4,80.5,0.0,0.1,5.0,0.0,0.0,,,,,0
2,0.0,-11.4,-11.4,0.5,-71.8,-80.5,0.0,0.0,-2.3,-0.6,-11.4,-0.5,71.4,80.5,0.0,0.1,5.0,0.0,0.0,,,,,0
3,0.0,-11.4,-11.4,89.5,-71.8,-80.5,0.0,0.0,-2.3,-0.6,-11.4,-89.5,71.4,80.5,0.0,0.1,5.0,0.0,0.0,,,,,0
4,0.0,-11.4,-11.4,0.5,-71.8,-80.5,0.0,0.0,-2.3,-0.6,-11.4,-0.5,71.4,80.5,0.0,0.1,5.0,0.0,0.0,,,,,0
5,0.0,-11.4,-11.4,89.5,-71.8,-80.5,0.0,0.0,-2.3,-0.6,-11.4,-89.5,71.4,80.5,0.0,0.1,5.0,0.0,0.0,,,,,0
6,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,5.0,0.0,0.0,,,,,0
0,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,3.0,0.0,0.0,,,,,1
1,0.0,-11.4,90.5,8.6,-71.8,-89.5,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,89.5,0.0,0.1,3.0,0.0,0.0,,,,,0
